./2_warp_id_and_thread_id.exe | sort > 2_warp_id_and_thread_id.txt

gid : 000, gbid : 0, warp_id : 0, tid : 00, bid.x : 0, bid.y : 0 
gid : 001, gbid : 0, warp_id : 0, tid : 01, bid.x : 0, bid.y : 0 
gid : 002, gbid : 0, warp_id : 0, tid : 02, bid.x : 0, bid.y : 0 
gid : 003, gbid : 0, warp_id : 0, tid : 03, bid.x : 0, bid.y : 0 
gid : 004, gbid : 0, warp_id : 0, tid : 04, bid.x : 0, bid.y : 0 
gid : 005, gbid : 0, warp_id : 0, tid : 05, bid.x : 0, bid.y : 0 
gid : 006, gbid : 0, warp_id : 0, tid : 06, bid.x : 0, bid.y : 0 
gid : 007, gbid : 0, warp_id : 0, tid : 07, bid.x : 0, bid.y : 0 
gid : 008, gbid : 0, warp_id : 0, tid : 08, bid.x : 0, bid.y : 0 
gid : 009, gbid : 0, warp_id : 0, tid : 09, bid.x : 0, bid.y : 0 
gid : 010, gbid : 0, warp_id : 0, tid : 10, bid.x : 0, bid.y : 0 
gid : 011, gbid : 0, warp_id : 0, tid : 11, bid.x : 0, bid.y : 0 
gid : 012, gbid : 0, warp_id : 0, tid : 12, bid.x : 0, bid.y : 0 
gid : 013, gbid : 0, warp_id : 0, tid : 13, bid.x : 0, bid.y : 0 
gid : 014, gbid : 0, warp_id : 0, tid : 14, bid.x : 0, bid.y : 0 
gid : 015, gbid : 0, warp_id : 0, tid : 15, bid.x : 0, bid.y : 0 
gid : 016, gbid : 0, warp_id : 0, tid : 16, bid.x : 0, bid.y : 0 
gid : 017, gbid : 0, warp_id : 0, tid : 17, bid.x : 0, bid.y : 0 
gid : 018, gbid : 0, warp_id : 0, tid : 18, bid.x : 0, bid.y : 0 
gid : 019, gbid : 0, warp_id : 0, tid : 19, bid.x : 0, bid.y : 0 
gid : 020, gbid : 0, warp_id : 0, tid : 20, bid.x : 0, bid.y : 0 
gid : 021, gbid : 0, warp_id : 0, tid : 21, bid.x : 0, bid.y : 0 
gid : 022, gbid : 0, warp_id : 0, tid : 22, bid.x : 0, bid.y : 0 
gid : 023, gbid : 0, warp_id : 0, tid : 23, bid.x : 0, bid.y : 0 
gid : 024, gbid : 0, warp_id : 0, tid : 24, bid.x : 0, bid.y : 0 
gid : 025, gbid : 0, warp_id : 0, tid : 25, bid.x : 0, bid.y : 0 
gid : 026, gbid : 0, warp_id : 0, tid : 26, bid.x : 0, bid.y : 0 
gid : 027, gbid : 0, warp_id : 0, tid : 27, bid.x : 0, bid.y : 0 
gid : 028, gbid : 0, warp_id : 0, tid : 28, bid.x : 0, bid.y : 0 
gid : 029, gbid : 0, warp_id : 0, tid : 29, bid.x : 0, bid.y : 0 
gid : 030, gbid : 0, warp_id : 0, tid : 30, bid.x : 0, bid.y : 0 
gid : 031, gbid : 0, warp_id : 0, tid : 31, bid.x : 0, bid.y : 0 
gid : 032, gbid : 0, warp_id : 1, tid : 32, bid.x : 0, bid.y : 0 
gid : 033, gbid : 0, warp_id : 1, tid : 33, bid.x : 0, bid.y : 0 
gid : 034, gbid : 0, warp_id : 1, tid : 34, bid.x : 0, bid.y : 0 
gid : 035, gbid : 0, warp_id : 1, tid : 35, bid.x : 0, bid.y : 0 
gid : 036, gbid : 0, warp_id : 1, tid : 36, bid.x : 0, bid.y : 0 
gid : 037, gbid : 0, warp_id : 1, tid : 37, bid.x : 0, bid.y : 0 
gid : 038, gbid : 0, warp_id : 1, tid : 38, bid.x : 0, bid.y : 0 
gid : 039, gbid : 0, warp_id : 1, tid : 39, bid.x : 0, bid.y : 0 
gid : 040, gbid : 0, warp_id : 1, tid : 40, bid.x : 0, bid.y : 0 
gid : 041, gbid : 0, warp_id : 1, tid : 41, bid.x : 0, bid.y : 0 
gid : 042, gbid : 1, warp_id : 0, tid : 00, bid.x : 1, bid.y : 0 
gid : 043, gbid : 1, warp_id : 0, tid : 01, bid.x : 1, bid.y : 0 
gid : 044, gbid : 1, warp_id : 0, tid : 02, bid.x : 1, bid.y : 0 
gid : 045, gbid : 1, warp_id : 0, tid : 03, bid.x : 1, bid.y : 0 
gid : 046, gbid : 1, warp_id : 0, tid : 04, bid.x : 1, bid.y : 0 
gid : 047, gbid : 1, warp_id : 0, tid : 05, bid.x : 1, bid.y : 0 
gid : 048, gbid : 1, warp_id : 0, tid : 06, bid.x : 1, bid.y : 0 
gid : 049, gbid : 1, warp_id : 0, tid : 07, bid.x : 1, bid.y : 0 
gid : 050, gbid : 1, warp_id : 0, tid : 08, bid.x : 1, bid.y : 0 
gid : 051, gbid : 1, warp_id : 0, tid : 09, bid.x : 1, bid.y : 0 
gid : 052, gbid : 1, warp_id : 0, tid : 10, bid.x : 1, bid.y : 0 
gid : 053, gbid : 1, warp_id : 0, tid : 11, bid.x : 1, bid.y : 0 
gid : 054, gbid : 1, warp_id : 0, tid : 12, bid.x : 1, bid.y : 0 
gid : 055, gbid : 1, warp_id : 0, tid : 13, bid.x : 1, bid.y : 0 
gid : 056, gbid : 1, warp_id : 0, tid : 14, bid.x : 1, bid.y : 0 
gid : 057, gbid : 1, warp_id : 0, tid : 15, bid.x : 1, bid.y : 0 
gid : 058, gbid : 1, warp_id : 0, tid : 16, bid.x : 1, bid.y : 0 
gid : 059, gbid : 1, warp_id : 0, tid : 17, bid.x : 1, bid.y : 0 
gid : 060, gbid : 1, warp_id : 0, tid : 18, bid.x : 1, bid.y : 0 
gid : 061, gbid : 1, warp_id : 0, tid : 19, bid.x : 1, bid.y : 0 
gid : 062, gbid : 1, warp_id : 0, tid : 20, bid.x : 1, bid.y : 0 
gid : 063, gbid : 1, warp_id : 0, tid : 21, bid.x : 1, bid.y : 0 
gid : 064, gbid : 1, warp_id : 0, tid : 22, bid.x : 1, bid.y : 0 
gid : 065, gbid : 1, warp_id : 0, tid : 23, bid.x : 1, bid.y : 0 
gid : 066, gbid : 1, warp_id : 0, tid : 24, bid.x : 1, bid.y : 0 
gid : 067, gbid : 1, warp_id : 0, tid : 25, bid.x : 1, bid.y : 0 
gid : 068, gbid : 1, warp_id : 0, tid : 26, bid.x : 1, bid.y : 0 
gid : 069, gbid : 1, warp_id : 0, tid : 27, bid.x : 1, bid.y : 0 
gid : 070, gbid : 1, warp_id : 0, tid : 28, bid.x : 1, bid.y : 0 
gid : 071, gbid : 1, warp_id : 0, tid : 29, bid.x : 1, bid.y : 0 
gid : 072, gbid : 1, warp_id : 0, tid : 30, bid.x : 1, bid.y : 0 
gid : 073, gbid : 1, warp_id : 0, tid : 31, bid.x : 1, bid.y : 0 
gid : 074, gbid : 1, warp_id : 1, tid : 32, bid.x : 1, bid.y : 0 
gid : 075, gbid : 1, warp_id : 1, tid : 33, bid.x : 1, bid.y : 0 
gid : 076, gbid : 1, warp_id : 1, tid : 34, bid.x : 1, bid.y : 0 
gid : 077, gbid : 1, warp_id : 1, tid : 35, bid.x : 1, bid.y : 0 
gid : 078, gbid : 1, warp_id : 1, tid : 36, bid.x : 1, bid.y : 0 
gid : 079, gbid : 1, warp_id : 1, tid : 37, bid.x : 1, bid.y : 0 
gid : 080, gbid : 1, warp_id : 1, tid : 38, bid.x : 1, bid.y : 0 
gid : 081, gbid : 1, warp_id : 1, tid : 39, bid.x : 1, bid.y : 0 
gid : 082, gbid : 1, warp_id : 1, tid : 40, bid.x : 1, bid.y : 0 
gid : 083, gbid : 1, warp_id : 1, tid : 41, bid.x : 1, bid.y : 0 
gid : 084, gbid : 2, warp_id : 0, tid : 00, bid.x : 0, bid.y : 1 
gid : 085, gbid : 2, warp_id : 0, tid : 01, bid.x : 0, bid.y : 1 
gid : 086, gbid : 2, warp_id : 0, tid : 02, bid.x : 0, bid.y : 1 
gid : 087, gbid : 2, warp_id : 0, tid : 03, bid.x : 0, bid.y : 1 
gid : 088, gbid : 2, warp_id : 0, tid : 04, bid.x : 0, bid.y : 1 
gid : 089, gbid : 2, warp_id : 0, tid : 05, bid.x : 0, bid.y : 1 
gid : 090, gbid : 2, warp_id : 0, tid : 06, bid.x : 0, bid.y : 1 
gid : 091, gbid : 2, warp_id : 0, tid : 07, bid.x : 0, bid.y : 1 
gid : 092, gbid : 2, warp_id : 0, tid : 08, bid.x : 0, bid.y : 1 
gid : 093, gbid : 2, warp_id : 0, tid : 09, bid.x : 0, bid.y : 1 
gid : 094, gbid : 2, warp_id : 0, tid : 10, bid.x : 0, bid.y : 1 
gid : 095, gbid : 2, warp_id : 0, tid : 11, bid.x : 0, bid.y : 1 
gid : 096, gbid : 2, warp_id : 0, tid : 12, bid.x : 0, bid.y : 1 
gid : 097, gbid : 2, warp_id : 0, tid : 13, bid.x : 0, bid.y : 1 
gid : 098, gbid : 2, warp_id : 0, tid : 14, bid.x : 0, bid.y : 1 
gid : 099, gbid : 2, warp_id : 0, tid : 15, bid.x : 0, bid.y : 1 
gid : 100, gbid : 2, warp_id : 0, tid : 16, bid.x : 0, bid.y : 1 
gid : 101, gbid : 2, warp_id : 0, tid : 17, bid.x : 0, bid.y : 1 
gid : 102, gbid : 2, warp_id : 0, tid : 18, bid.x : 0, bid.y : 1 
gid : 103, gbid : 2, warp_id : 0, tid : 19, bid.x : 0, bid.y : 1 
gid : 104, gbid : 2, warp_id : 0, tid : 20, bid.x : 0, bid.y : 1 
gid : 105, gbid : 2, warp_id : 0, tid : 21, bid.x : 0, bid.y : 1 
gid : 106, gbid : 2, warp_id : 0, tid : 22, bid.x : 0, bid.y : 1 
gid : 107, gbid : 2, warp_id : 0, tid : 23, bid.x : 0, bid.y : 1 
gid : 108, gbid : 2, warp_id : 0, tid : 24, bid.x : 0, bid.y : 1 
gid : 109, gbid : 2, warp_id : 0, tid : 25, bid.x : 0, bid.y : 1 
gid : 110, gbid : 2, warp_id : 0, tid : 26, bid.x : 0, bid.y : 1 
gid : 111, gbid : 2, warp_id : 0, tid : 27, bid.x : 0, bid.y : 1 
gid : 112, gbid : 2, warp_id : 0, tid : 28, bid.x : 0, bid.y : 1 
gid : 113, gbid : 2, warp_id : 0, tid : 29, bid.x : 0, bid.y : 1 
gid : 114, gbid : 2, warp_id : 0, tid : 30, bid.x : 0, bid.y : 1 
gid : 115, gbid : 2, warp_id : 0, tid : 31, bid.x : 0, bid.y : 1 
gid : 116, gbid : 2, warp_id : 1, tid : 32, bid.x : 0, bid.y : 1 
gid : 117, gbid : 2, warp_id : 1, tid : 33, bid.x : 0, bid.y : 1 
gid : 118, gbid : 2, warp_id : 1, tid : 34, bid.x : 0, bid.y : 1 
gid : 119, gbid : 2, warp_id : 1, tid : 35, bid.x : 0, bid.y : 1 
gid : 120, gbid : 2, warp_id : 1, tid : 36, bid.x : 0, bid.y : 1 
gid : 121, gbid : 2, warp_id : 1, tid : 37, bid.x : 0, bid.y : 1 
gid : 122, gbid : 2, warp_id : 1, tid : 38, bid.x : 0, bid.y : 1 
gid : 123, gbid : 2, warp_id : 1, tid : 39, bid.x : 0, bid.y : 1 
gid : 124, gbid : 2, warp_id : 1, tid : 40, bid.x : 0, bid.y : 1 
